14:24:07:330,1,3122.522771,00000034,0000012a,00000416,00000000,00000000,0000000e,00000019
14:24:07:424,1,3122.537511,00000034,00000128,00000411,00000000,00000016,0000000d,00000014
14:24:07:509,1,3122.552215,00000034,00000127,0000040d,00000000,00000015,00000000,00000000
14:24:07:641,1,3122.565043,00000034,00000125,00000408,00000000,00000010,00000000,ffffffee
14:24:07:739,1,3122.577754,00000034,00000124,00000404,00000000,00000000,00000000,ffffffe2
14:24:07:831,1,3122.590505,00000034,00000123,00000400,00000000,00000000,00000000,ffffffea
14:24:07:982,1,3122.603151,00000034,00000122,000003fc,00000000,0000000f,0000000e,ffffffd3
14:24:08:160,1,3122.615918,00000034,00000000,000003fa,00000000,0000000e,0000000c,0000000f
14:24:08:247,1,3122.629082,00000034,00000121,000003f7,00000000,00000015,0000000d,0000000b
14:24:08:351,1,3122.641636,00000034,00000120,000003f5,00000000,0000000f,0000000e,00000000
14:24:08:431,1,3122.654301,00000034,0000011f,000003f3,00000000,00000010,00000000,0000000f
14:24:08:476,1,3122.666973,00000034,00000000,000003f1,00000000,00000000,00000000,00000000
14:24:08:525,1,3122.679575,00000034,00000000,000003ef,00000000,0000000f,00000000,00000000
14:24:08:567,1,3122.692054,00000034,0000011e,000003ed,00000000,00000000,0000000c,00000000
14:24:08:592,1,3122.704637,00000034,0000011d,000003ec,00000000,00000000,00000000,00000000
14:24:08:642,1,3122.717317,00000034,0000011c,000003e8,00000000,00000015,00000000,00000000
14:24:08:668,1,3122.732074,00000034,0000011b,000003e5,00000000,00000000,00000000,00000000
14:24:08:703,1,3122.744582,00000034,0000011a,000003e2,00000000,00000000,00000000,00000000
14:24:08:791,1,3122.757252,00000034,00000119,000003df,00000000,00000016,0000000d,00000000
14:24:08:836,1,3122.769882,00000034,00000118,000003dd,00000000,00000000,00000000,00000000
14:24:08:882,1,3122.782747,00000034,00000117,000003dc,00000000,00000000,00000000,00000000
14:24:08:903,1,3122.795603,00000034,00000000,000003db,00000000,00000000,00000000,00000000
14:24:08:927,1,3122.809099,00000034,00000000,000003da,00000000,00000000,00000000,00000000
14:24:08:980,1,3122.821669,00000034,00000000,000003d9,00000000,00000000,0000000e,00000000
14:24:09:018,1,3122.834333,00000034,00000000,000003d8,00000000,00000000,0000000d,00000000
14:24:09:127,1,3122.872197,00000034,00000000,000000ed,00000000,0000000f,0000000d,0000000c
14:24:09:167,1,3122.884603,00000034,00000000,000003d7,00000000,00000015,00000000,fffffffb
14:24:09:274,1,3122.899313,00000034,00000000,000003d6,00000000,00000000,0000000e,00000000
14:24:09:377,1,3122.911777,00000034,00000116,000003d5,00000000,00000010,0000000e,00000019
14:24:09:514,1,3122.923898,00000034,00000115,000003d3,00000000,0000000f,00000000,00000016
14:24:09:612,1,3122.936267,00000034,00000114,000003d1,00000000,00000000,00000000,00000019
14:24:09:771,1,3122.948747,00000034,00000113,000003ce,00000000,0000000e,0000000d,0000002d
14:24:09:853,1,3122.960824,00000034,00000112,000003cc,00000000,0000000d,0000000e,00000000
14:24:09:941,1,3122.973061,00000034,00000111,000003ca,00000000,0000000f,0000000d,0000005a
14:24:10:033,1,3122.985700,00000034,00000110,000003c8,00000000,0000000e,00000000,00000000
14:24:10:076,1,3122.997818,00000034,0000010f,000003c6,00000000,00000000,00000000,00000000
14:24:10:156,1,3123.010312,00000034,00000000,000003c5,00000000,0000000f,00000000,00000000
14:24:10:194,1,3123.022423,00000034,00000000,000003c4,00000000,00000000,0000000c,00000000
14:24:10:334,1,3123.035083,00000034,00000000,000003c3,00000000,00000000,0000000d,00000019
14:24:10:487,1,3123.047572,00000034,00000000,000003c2,00000000,00000000,0000000d,ffffffa6
14:24:10:559,1,3123.059698,00000034,00000000,000003c1,00000000,00000000,00000000,00000000
14:24:10:596,1,3123.072065,00000034,00000000,000003c0,00000000,00000000,00000000,00000000
14:24:10:728,1,3123.108795,00000034,00000000,000000e2,00000000,0000000d,00000000,0000002d
14:24:10:781,1,3123.123093,00000034,000000b5,000000e1,00000000,0000000f,00000000,00000043
14:24:10:986,1,3123.156695,00000000,000000b8,000000dd,00000000,0000000e,0000000c,0000003c
14:24:11:043,1,3123.166128,00000000,000000b9,000000db,00000000,0000000c,00000009,ffffffef
14:24:11:099,1,3123.177042,00000000,00000000,000000da,00000000,0000000e,0000000b,0000001e
14:24:11:218,1,3125.132650,00000036,0000011b,0000013e,00000000,00000009,00000008,00000000
14:24:11:290,1,3125.199075,00000036,0000011d,0000013c,00000000,0000000e,0000000d,00000024
14:24:11:358,1,3125.209785,00000036,0000011e,0000013b,00000000,0000000f,0000000c,00000000
14:24:11:416,1,3125.220843,00000036,00000000,00000138,00000000,0000000e,0000000d,00000019
14:24:11:473,1,3125.232078,00000036,00000000,00000134,00000000,0000000f,00000000,0000001e
14:24:11:546,1,3125.243017,00000036,0000011d,0000012e,00000000,0000000e,0000000e,00000016
14:24:11:596,1,3125.253969,00000036,0000011c,00000127,00000000,00000000,00000000,00000000
14:24:11:679,1,3125.265267,00000036,0000011b,00000122,00000000,0000000f,00000000,00000019
14:24:11:746,1,3125.276213,00000036,0000011a,0000011d,00000000,00000000,0000000d,00000024
14:24:11:812,1,3125.287216,00000036,00000119,00000117,00000000,00000000,00000000,0000001e
14:24:11:860,1,3125.298277,00000036,00000000,00000113,00000000,00000010,0000000e,00000016
14:24:11:910,1,3125.309391,00000036,00000000,00000110,00000000,00000000,00000000,00000012
14:24:11:985,1,3125.320364,00000036,00000118,0000010b,00000000,0000000f,0000000d,0000000f
14:24:12:039,1,3125.331499,00000036,00000000,00000106,00000000,0000000e,00000000,00000016
14:24:12:118,1,3125.342607,00000036,00000119,00000100,00000000,00000015,0000000e,0000000b
14:24:12:185,1,3125.353457,00000036,0000011a,000000fb,00000000,0000000f,00000000,00000014
14:24:12:225,1,3125.364548,00000036,0000011b,000000f4,00000000,00000000,00000000,00000019
14:24:12:276,1,3125.375701,00000036,0000011c,000000ee,00000000,00000000,0000000d,0000001e
14:24:12:335,1,3125.386907,00000036,0000011d,000000e8,00000000,00000000,00000000,0000003c
14:24:12:381,1,3125.397755,00000036,0000011f,000000e1,00000000,00000000,00000000,00000024
14:24:12:422,1,3125.408659,00000036,00000120,000000dd,00000000,00000000,0000000c,00000020
14:24:12:468,1,3125.419828,00000036,00000122,000000d8,00000000,00000000,00000000,0000001e
14:24:12:543,1,3125.430939,00000036,00000123,000000d4,00000000,00000000,0000000b,00000024
